Icc_21;CCT_21;RoCoF_21;Icc_22;CCT_22;RoCoF_22;Icc_23;CCT_23;RoCoF_23;Icc_11;CCT_11;RoCoF_11;Icc_12;CCT_12;RoCoF_12;Icc_13;CCT_13;RoCoF_13;Icc_31;CCT_31;RoCoF_31;Icc_32;CCT_32;RoCoF_32;Icc_33;CCT_33;RoCoF_33
11,326;0,389;0,773;11,09;0,344;0,7803;8,47;0,3;0,8582;11,79;2,85;0,6478;10,99;2,58;0,6563;9,8;2,08;0,6757;6,22;0,211;0,9232;6,2;0,188;0,9583;3,21;0,158;1,2838
11,14;0,371;0,75;10,93;0,326;0,8053;8,38;0,284;0,8342;11,7;2,79;0,6318;10,91;2,52;0,6413;9,74;2,071;0,6597;6,17;0,209;0,8952;6,15;0,185;0,9303;3,2;0,154;1,2558
10,97;0,353;0,727;10,77;0,315;0,7823;8,28;0,28;0,8112;11,62;2,73;0,6158;10,83;2,46;0,6263;9,68;2,068;0,6487;6,12;0,2;0,8652;6,09;0,184;0,9003;3,18;0,153;1,2258
10,5;0,338;0,702;10,31;0,304;0,7573;8,01;0,258;0,7862;11,38;2,64;0,5968;10,6;2,41;0,6073;9,51;2,056;0,6297;5,97;0,195;0,8332;5,95;0,183;0,8683;3,14;0,15;1,1938
9,79;0,327;0,671;9,63;0,289;0,7263;7,59;0,242;0,7552;11,02;2,11;0,5758;10,25;2,09;0,5833;9,24;1,95;0,6027;5,73;0,189;0,7992;5,71;0,179;0,8343;3,07;0,141;1,1598
9,18;0,309;0,638;9,03;0,278;0,6933;7,21;0,231;0,7222;10,7;2,02;0,5558;9,93;1,95;0,5643;9;1,843;0,5817;5,51;0,175;0,7662;5,5;0,165;0,8013;3,01;0,133;1,1268
8,63;0,294;0,608;8,5;0,263;0,6633;6,87;0,216;0,6922;10,4;1,94;0,5318;9,64;1,89;0,5433;8,78;1,741;0,5647;5,31;0,171;0,7312;5,3;0,163;0,7663;2,95;0,13;1,0918
8,15;0,283;0,579;8,03;0,252;0,6343;6,56;0,207;0,6632;10,13;1,86;0,5098;9,38;1,81;0,5213;8,57;1,635;0,5437;5,12;0,163;0,6982;5,11;0,158;0,7333;2,89;0,125;1,0588
7,72;0,273;0,545;7,61;0,237;0,6003;6,28;0,19;0,6292;9,88;1,72;0,4888;9,14;1,7;0,5013;8,38;1,528;0,5237;4,95;0,157;0,6682;4,94;0,155;0,7033;2,83;0,12;1,0288
7,33;0,263;0,514;7,23;0,219;0,5693;5,9;0,179;0,5982;9,66;1,68;0,4688;8,92;1,65;0,4833;8,21;1,427;0,5047;4,79;0,15;0,6372;4,77;0,149;0,6723;2,78;0,111;0,9978
6,98;0,248;0,482;6,89;0,208;0,5373;5,59;0,166;0,5662;9,45;1,6;0,4448;8,72;1,58;0,4613;8,05;1,324;0,4807;4,64;0,143;0,6052;4,62;0,14;0,6403;2,73;0,106;0,9658
6,606;0,238;0,449;6,58;0,197;0,5043;5,28;0,153;0,5332;9,26;1,56;0,4238;8,53;1,49;0,4403;7,9;1,223;0,4587;4,49;0,137;0,5712;4,48;0,136;0,6063;2,68;0,1;0,9318
6,37;0,228;0,42;6,3;0,179;0,4753;4,94;0,138;0,5042;9,08;1,48;0,3988;8,35;1,44;0,4173;7,76;1,118;0,4377;4,36;0,131;0,5402;4,35;0,13;0,5753;2,63;0,095;0,9008
6,1;0,223;0,392;6,03;0,161;0,4473;4,63;0,127;0,4762;8,91;1,34;0,3778;8,19;1,3;0,3953;7,63;1,017;0,4147;4,23;0,124;0,5072;4,22;0,122;0,5423;2,58;0,092;0,8678
5,85;0,214;0,362;5,79;0,146;0,4173;4,29;0,115;0,4462;8,76;1,3;0,3548;8,04;1,19;0,3743;7,5;0,916;0,3897;4,11;0,119;0,4752;4,1;0,117;0,5103;2,54;0,087;0,8358
5,63;0,209;0,331;5,57;0,128;0,3863;3,91;0,105;0,4152;8,61;1,22;0,3318;7,9;1,17;0,3523;7,39;0,815;0,3657;4;0,111;0,4442;3,99;0,109;0,4793;2,49;0,084;0,8048
5,42;0,199;0,298;5,37;0,11;0,3533;3,53;0,089;0,3822;8,48;1,14;0,3108;7,77;1,09;0,3283;7,28;0,715;0,3397;3,89;0,101;0,4152;3,88;0,1;0,4503;2,45;0,078;0,7758
5,22;0,194;0,266;5,18;0,092;0,3213;3,19;0,074;0,3502;8,35;1;0,2868;7,65;0,94;0,3073;7,18;0,618;0,3197;3,79;0,089;0,3862;3,78;0,088;0,4213;2,41;0,071;0,7468
5,04;0,175;0,232;5;0,074;0,2873;2,88;0,063;0,3162;8,23;0,92;0,2618;7,53;0,89;0,2833;7,08;0,616;0,3037;3,69;0,081;0,3562;3,69;0,079;0,3913;2,37;0,067;0,7168
4,87;0,165;0,201;4,83;0,064;0,2563;2,6;0,047;0,2852;8,12;0,84;0,2408;7,42;0,82;0,2623;6,99;0,517;0,2837;3,6;0,072;0,3272;3,59;0,07;0,3623;2,33;0,063;0,6878
4,72;0,16;0,168;4,68;0,046;0,2233;2,26;0,032;0,2522;8,01;0,8;0,2208;7,32;0,79;0,2473;6,9;0,418;0,2657;3,52;0,061;0,3002;3,51;0,06;0,3353;2,3;0,054;0,6608
4,57;0,141;0,138;4,53;0,028;0,1933;1,92;0,018;0,2222;7,91;0,69;0,2008;7,22;0,66;0,2263;6,82;0,315;0,2427;3,43;0,052;0,2732;3,43;0,049;0,3083;2,26;0,045;0,6338
4570;0,122;0,103;4,39;0,018;0,1583;1,64;0,009;0,1872;7,82;0,61;0,1808;7,13;0,56;0,2023;6,74;0,213;0,2217;3,35;0,04;0,2482;3,35;0,035;0,2833;2,23;0,021;0,6088
